parameter_name,procedure_name,f_n,m_n,f_intercept,f_intercept_se,f_slope,f_slope_se,m_intercept,m_intercept_se,m_slope,m_slope_se,fm_diff_int,fm_diff_int_se,fm_diff_int_p,fm_diff_slope,fm_diff_slope_se,fm_diff_slope_p,f_sd,m_sd,r_m,r_c,Category,parameter_group,lnVR,VlnVR,low_lnVR,high_lnVR,t_val_sd,p_val_sd,Zr,VZr
activity onset with respect to dark onset median,Sleep Wake,273,259,0.39974936077623746,0.0265680745270691,-0.06417954563280355,0.3438944040206635,0.2389277540297768,0.02412860569003966,-0.13764877201677045,0.2585013914927448,0.16082160674644058,0.02874731534892138,3.7537513874747675e-8,0.07346922638449778,0.42042503930263847,0.8613509439544663,0.3593388,0.2969757825020343,0.22417754310827992,0.3920506290428528,Behaviour,activity onset with respect to dark onset median,0.1905138078141234,0.003804976851851852,0.18305619022248515,0.19797142540576163,3.088520212501441,0.0021169887797423126,0.22805040138574426,0.001890359168241966
average duration,Rotarod,621,612,4.139674744567367,0.05349194714770883,-0.4230797527307182,0.5306745702155853,4.0174140813480035,0.05444843055295065,-0.36545687861408366,0.531226737751022,0.12226066321940138,0.0310507536209248,8.734526475366277e-5,-0.05762287411813259,0.3396140727053005,0.8652984876378396,0.5134660426086485,0.57158718,0.11984981751554374,0.4012784214219629,Behaviour,average duration,-0.10724507621624943,0.001630079551070512,-0.11043997342828285,-0.10405017900421601,-2.656274557634161,0.008003036488006599,0.12042865448438637,8.130081300813008e-4
breath rate during sleep mean,Sleep Wake,864,842,0.9449820905034366,0.00441927308011529,0.2082083970204413,0.03309881392973135,1.0332861210685165,0.00425314146748547,0.21328662803579648,0.02627824099731505,-0.08830403056508108,0.00341632629466403,1.1570954172426792e-122,-0.00507823101501715,0.03793812451089583,0.8935342375730235,0.0748341,0.06494902414249902,0.5035914270732824,0.6860982675313683,Behaviour,breath rate during sleep mean,0.1416557177329709,0.0011766676495302327,0.13934949151811823,0.14396194394782355,4.129592535423094,3.8099566762817005e-5,0.5541062433464704,5.871990604815032e-4
breath rate during sleep standard deviation,Sleep Wake,864,842,-0.2498343213879996,0.00501031090478897,0.00470535067368766,0.04562158182377187,-0.21510474032069524,0.00493048266783544,0.05330770814402959,0.03863875191535049,-0.03472958106730479,0.005035579288411,7.736348666388637e-12,-0.04860235747030179,0.0552481571479292,0.37915366979910337,0.1057847,0.10106710102474756,0.15682095594440784,0.4112851372941961,Behaviour,breath rate during sleep standard deviation,0.04560600619759725,0.0011766676495302327,0.0432997799827446,0.0479122324124499,1.3295207971702048,0.18385416489672002,0.15812582104017842,5.871990604815032e-4
center average speed,Open Field,8692,8660,2.345863291132866,0.2348120372747098,-0.0223913588743848,0.08273293541802694,2.261613780419551,0.2348156697680725,0.02891448395675919,0.08203272412673344,0.08424951067793213,0.00431197306644673,5.476991104529129e-84,-0.05130584379939001,0.0398533258974689,0.1979860372867102,0.26211813900000003,0.26413079295541736,0.04909042295316728,0.9520401501855918,Behaviour,center average speed,-0.007649306686889397,1.1530074983508856e-4,-0.007875292003956633,-0.007423321369822161,-0.7123706332235115,0.4762448749419934,0.04912991390947623,5.764020981036371e-5
center distance travelled,Open Field,9025,8992,7.2534776748041585,0.2882775862349527,-0.15199850424771236,0.14396318261515337,7.188834753027652,0.28828274743327303,-0.02602565376411237,0.14055449849566085,0.06464292173258127,0.00906840586502004,1.0598188163153065e-12,-0.12597285077947426,0.08415502204884778,0.13443563990234067,0.56895082,0.5352490396406155,0.0292465795412756,0.8806314524357828,Behaviour,center distance travelled,0.06106166135542758,1.1104362412060614e-4,0.06084401985143839,0.06127930285941677,5.794577858999138,6.963596588249743e-9,0.029254922631814978,5.551237926057511e-5
center permanence time,Open Field,9381,9328,5.086102469649859,0.1426083608973872,-0.07680031406126153,0.12313066138894864,5.1177050593763225,0.14266546927871862,-0.02602831133190752,0.11596813045864506,-0.0316026086019581,0.00997422574331005,0.00153548518532903,-0.05077201285091042,0.09288351219619807,0.5846470901263197,0.6505803,0.5862077572881891,0.0192792600915906,0.7023579570519365,Behaviour,center time,0.10419016944226353,1.0693557507531459e-4,0.10398057956644984,0.10439975931807723,10.075477549780098,0,0.01928164925965463,5.345878327809259e-5
center resting time,Open Field,6471,6443,3.229724266778242,0.30540322917210116,0.04100973108919583,0.28570140224045726,3.26751499122801,0.3053440216514634,-0.07991912848250658,0.27435869181779854,-0.03779072513659387,0.01999057208375039,0.05872605729280399,0.12092886132694824,0.21313611123899845,0.5704681349675922,1.0512567468831029,0.9515445,0.01321750943473312,0.7381526641179932,Behaviour,center time,0.09965483922302143,1.549434002850152e-4,0.09935115573882063,0.09995852270722223,8.005931162440893,1.3322676295501878e-15,0.013218279226318021,7.745333436604446e-5
conditioning baseline % freezing time,Fear Conditioning,168,238,1.968795842884797,0.13569498999538385,-1.1332899896755395,1.299168751556077,1.9635375000041744,0.12047100729219493,-1.0243329377014216,1.0938558800117402,0.00525834259822317,0.11967366963806664,0.9649795943885244,-0.10895704284404156,1.6596715556111885,0.9476964226793404,0.985575646087004,0.9794872,0.05860417311738146,0.6517738454044916,Behaviour,conditioning baseline freezing time,0.007099356789217999,0.0051579626047711154,-0.0030100641497377897,0.017208777728173787,0.09885073623826415,0.9213058120305573,0.05867140272652915,0.0024813895781637717
conditioning baseline average motion index,Fear Conditioning,168,238,4.531478568344123,0.08637235699675419,0.8355070024494656,0.6100651075108227,4.459628511246106,0.0818414416180417,0.03230327639052603,0.5798291857862334,0.0718500570832485,0.06013450136841829,0.23301438674387093,0.8032037263879479,0.8201500288906505,0.32813062411561766,0.4371867760070514,0.5098784,0.06757196981512405,0.7970570014523787,Behaviour,conditioning baseline average motion index,-0.1529091136261791,0.0051579626047711154,-0.16301853456513488,-0.1427996926872233,-2.1290912554844486,0.03385094282758416,0.06767509637385057,0.0024813895781637717
conditioning baseline freeze count,Fear Conditioning,291,333,1.32568663564185,0.38839154581893137,-0.885687058546333,0.7413944022580768,1.352955024065467,0.3880310081782627,-1.3567942109703008,0.765546638802692,-0.02726838841897461,0.08384702180551104,0.7451497185166037,0.4711071523373838,1.047925463578418,0.6532156542374716,0.7753469544650501,0.85083523,0.0778264356145737,0.6787819765041885,Behaviour,conditioning baseline freeze count,-0.09268691860549838,0.0032512626262626264,-0.09905927625725423,-0.08631456095374253,-1.6255203779690632,0.1045582607984823,0.07798413951797128,0.001610305958132045
